num_tasks,values_per_task,total_items,repeat,cpu_time_sec,cuda_total_time_sec,cuda_h2d_time_sec,cuda_kernel_time_sec,cuda_d2h_time_sec,correct,speedup
1,1000,1000,3.0,4.036e-05,0.01836476,0.0003729728,0.0001007104,7.517440000000001e-05,1.0,0.002197687309825993
1,10000,10000,3.0,0.00054436,0.0017924,0.0005134912,3.37408e-05,0.0002382336,1.0,0.303704530238786
4,1000,4000,3.0,0.00020838000000000003,0.00120684,0.0004474496,4.7417600000000005e-05,0.0001634816,1.0,0.17266580491200162
4,10000,40000,3.0,0.0023411,0.0050923999999999995,0.00109728,8.76032e-05,0.0005625663999999999,1.0,0.45972429502788476
16,1000,16000,3.0,0.0009129800000000001,0.0030338400000000003,0.0010580416,5.648000000000001e-05,0.0003227392,1.0,0.3009321519921947
16,10000,160000,3.0,0.01000728,0.017891659999999997,0.0023404352,0.0003058944,0.0022256384,1.0,0.5593265242017791
64,1000,64000,3.0,0.00359046,0.0074306,0.0013913024,0.0001369344,0.0008307392,1.0,0.483199203294485
64,10000,640000,3.0,0.03833694,0.06181948,0.0060108992,0.001123936,0.0067873280000000005,1.0,0.620143359342395
